kanji_strokes,How many strokes in the kanji for:,"Draw the figure in your mind, then type the number of strokes to help you remember:",,,,
white,5,白,",white,drop,sun,day,",ハク　　ビャク,しろ　　しろ・い　　しらr,"The colour WHITE is a 'drop' of 'sun' light, containing all colours. Also signifies any *white bird."
hundred,6,百,",hundred,one,ceiling,white,dove,",ヒャク,,"The 99th birthday is a 'white' year, because it is 'one' minus A HUNDRED."
in,4,中,",in,stick,mouth,",チュウ　　ジュウ r,なか,Imagine giving medicine to a baby - you need a 'walking stick' to pry apart their mouths and get the medicine IN.
thousand,3,千,",thousand,drop,ten,needle,",セン,ち,Imagine 'dropping' a couple more zeroes into 'ten' to get a THOUSAND.
tongue,6,舌,",tongue,thousand,drop,ten,needle,mouth,",ゼツ,した,A language is a 'thousand' 'mouths' speaking one TONGUE.
measuring box,4,升,",measuring box,thousand,drop,ten,needle,",ショウ,ます,"A MEASURING BOX, or a SAKE CUP, would be a lot less tempting to the alcoholic if it were covered in a 'thousand' 'needles'."
rise up,8,昇,",rise up,sun,day,measuring box,thousand,drop,ten,needle,",ショウ,のぼ・る,Imagine the 'sun' RISING UP out of a 'sake cup'.
round,3,丸,",round,drop,nine,baseball,",ガン,まる・い　　まる　　まる・める,Add a 'drop' to 'nine' to get a nice ROUND number - and a *fat man is much like a round 'baseball'.
measurement,3,寸,",measurement,glue,drop,ten with a hook,",スン,,"One 'drop' of 'ten' in a shaku makes a small unit of Japanese MEASUREMENT. For the primitive, think of the importance of measuring in woodwork - and the importance of *glue."
elbow,7,肘,",elbow,moon,month,flesh,part of the body,glue,",,ひじ,"Instead of ELBOW grease, think of the elbow as the 'flesh' that's 'glued' to the task."
specialty,9,専,",specialty,ten,needle,rice field,brains,glue,",セン,もっぱ・ら,A SPECIALTY is 'ten' 'fields' 'glued' together - a combination of skills only you possess.
Dr.,12,博,",Dr.,ten,needle,acupuncturist,specialty,drop,ten,needle,rice field,brains,glue,",ハク　　バクr,,"A Japanese DR. is a 'needle' 'specialist' - with an extra 'drop' to mark the dot in Dr. Lends itself as a primitive to mean *acupuncturist, naturally."
fortune-telling,5,占,",fortune-telling,magic wand,augury,divining rod,mouth,",セン,し・める　　うらな・う,A 'divining rod' over a 'mouth' aptly signifies a FORTUNE TELLER.
above,3,上,",above,magic wand,augury,divining rod,one,floor,",ジョウ　　ショウr,うえ　　うわr　　かみ　　あ・げる　　あ・がる　　のぼ・る　　のぼ・す　　のぼ・せる,It's a 'magic wand' magically floating ABOVE the 'floor'.
below,3,下,",below,one,ceiling,magic wand,augury,divining rod,",カ　　ゲ,した　　しも　　もと　　さ・げる　　さ・がる　　くだ・る　　くだ・す　　くだ・さる　　お・ろす　　お・りる,It's a 'magic wand' magically hanging BELOW the 'ceiling'.
eminent,8,卓,",eminent,magic wand,augury,divinging rod,sunflower,sun,day,ten,needle,",タク,,"All hail the EMINENT 'sunflower' sage, with a flower for his 'magic wand'."
morning,12,朝,",morning,mist,ten,needle,early,sun,day,moon,month,flesh,part of the body,ten2,needle2,",チョウ,あさ,The 'mist' (that 'needles' the 'sunflowers') together with the 'moon' beautifully evoke the MORNING.
derision,15,嘲,",derision,mouth,morning ,mist,ten,needle,early,sun,day,moon,month,flesh,part of the body,ten2,needle2,",チョウ,あざけ・る,"An act of DERISION leaves a bitter taste, like the 'morning' 'mouth' you get after a regrettable night out."
only,5,只,",only,mouth,animal legs,eight,",,ただ,A bizarre creature with just a 'mouth' and 'animal legs' is sure to be the ONLY one of its kind.
shellfish,7,貝,",shellfish,shellfish,clam,oyster,eye,animal legs,eight,",,かい,Imagine a horrid SHELLFISH that is nothing but a massive 'eye' on little 'animal legs'.
pop song,10,唄,",pop song,mouth,shellfish,clam,oyster,eye,animal legs,eight,",,うたr,There's a lot of money in POP SONGS - see this singer spewing fancy 'shellfish' out of her 'mouth' after an expensive binge.
upright,9,貞,",upright,magic wand,augury,divining rod,shellfish,clam,oyster,eye,animal legs,eight,",テイ,,It would take a 'magic wand' to make a 'shellfish' stand UPRIGHT - which is exactly what we have here.
employee,10,員,",employee,mouth,shellfish,clam,oyster,eye,animal legs,eight,",イン,,EMPLOYEES are expected to keep their 'mouths' 'clammed' up - or risk being fired.
post a bill,12,貼,",shellfish,shellfish,clam,oyster,eye,animal legs,eight,fortune-telling,magic wand,augury,divining rod,mouth,",チョウ,は・る,"This BILL has been posted next to a Chinese restaurant advertising their new delicacy - instead of 'fortune' cookies, they sell fortune 'clams'."
see,7,見,",see,eye,human legs,",ケン,み・る　　み・える　　み・せる,You can't outrun it and you can't hide from it - the monstrous 'eye' with 'human legs' SEES all.
newborn babe,7,児,",newborn babe,olden times,stick,sun,day,human legs,",ジ　　ニr,,"This NEWBORN BABE crawls at the feet of Father Time, who represents the 'olden days'."
beginning,4,元,",beginning,two,human legs,",ゲン　　ガン,もと,In the BEGINNING there were but 'two' sets of of 'human legs' in the world.
page,9,頁,",page,one,ceiling,drop,shellfish,clam,oyster,eye,animal legs,eight,",,ページ,A 'shellfish' is like a book with 'one' PAGE containing a single 'drop' (pearl) of wisdom. As a primitive it signifies *head.
stubborn,13,頑,",stubborn,beginning,two,human legs,head,page,one,ceiling,drop,shellfish,clam,oyster,eye,animal legs,eight,",ガン,,"Picture Cain and Abel with their swollen STUBBORN 'heads', grimacing at God back in the 'beginning'."
mediocre,3,凡,",mediocre,drop,wind,",ボン　　ハンr,,Forget about a 'drop' in a bucket - a drop in the 'wind' is far more MEDIOCRE.
defeat,9,負,",defeat,bound up,shellfish,clam,oyster,eye,animal legs,eight,",フ,ま・ける　　ま・かす　　お・う,"Imagine 'shellfish' battling one another - the victor has 'bound up' the loser, signifying the latter's DEFEAT."
ten thousand,3,万,",ten thousand,one,ceiling,bound up,",マン　　バン,,"One' must be 'bound up' with many zeroes to make TEN THOUSAND, the Japanese go-to for 'a very big number'."
phrase,5,句,",phrase,bound up,mouth,",ク,,A PHRASE is a bunch of words 'bound up' so that they fit in your 'mouth' (and in your memory).
texture,6,肌,",texture,moon,month,flesh,part of the body,wind,",,はだ,"Whenever a 'part of the body' gets exposed to the 'wind', its TEXTURE is affected."
decameron,6,旬,",decameron,bound up,sun,day,",ジュン　　シュン r,,A DECAMERON is ten 'days' 'bound up' together.
ladle,3,勺,",ladle,bound up,drop,",シャク,,A LADLE is used to 'bind up' many 'drops' of liquid - see the last drop left after the rest has been served up?
bull's eye,8,的,",bull’s eye,white,dove,ladle,bound up,drop,",テキ,まと,This 'white bird' painted on a metal 'ladle' makes an excellent BULL'S EYE for target-practice - hear the 'ping' when you hit your target.
neck,9,首,",neck,horns,nose,one,ceiling,drop,eye,",シュ,くび,This poor moose - with big 'horns' and a bigger 'nose' - has had his head cut off at the NECK and hung on someone's wall.
fish guts,1,乙,",fishguts,fishhook,",オツ,,"This kanji for FISH GUTS is a pictograph of a *fish hook, which also bears connotations of pure, tasteful, and quaint things."
riot,7,乱,",riot,tongue,thousand,drop,ten,needle,mouth,fishhook,",ラン,みだ・す　　みだ・れる,"This kanji shows what happens to a RIOTOUS 'tongue' - it becomes 'barbed', in order to 'hook' its enemies."
straightaway,8,直,",straightaway,ten,needle,eye,fishhook,",チョク　　ジキ,なお・す　　なお・る　　ただ・ちに,This kanji depicts a 'fish hook' being STRAIGHTENED OUT so it can ascend through the 'eye of the needle'.
tool,8,具,",tool,eye,tool,one,animal legs,eight,",グ,,"Think of a carpenter's table (complete with sculptural 'animal legs') bearing many TOOLS, each magically equipped with an 'eye' so that the distrustful master can monitor their use."
truth,10,真,",tool,eye,tool,one,animal legs,eight,needle,ten,eye of the needle,",シン,ま,The TRUTH is a 'tool' to whittle knowledge until it can pass through the 'eye of the needle'.
craft,3,工,",craft,artificial,",コウ　　ク,,"A pictograph of an I-beam, used heavily in the CRAFT of construction."
left,5,左,",left,by one’s side,craft,",サ,ひだり,"The LEFT has traditionally been considered the sinister 'side', where dark and occult 'crafts' are cultivated."
right,5,右,",right,by one’s side,mouth,",ウ　　ユウ,みぎ,"On the RIGHT 'side' hangs a 'mouth', like the angel over your shoulder telling you what's right."
possess,6,有,",possess,by one’s side,moon,month,flesh,part of the body,",ユウ　　ウ,あ・る,The best way to prevent demonic POSSESSION is to hang a piece of rotting 'flesh' 'by your side' wherever you go.
bribe,13,賄,",bribe,shellfish,clam,oyster,eye,animal legs,eight,possess,by one’s side,moon,month,flesh,part of the body,",ワイ,まかな・う,A person who can be BRIBED is invariably one who is 'possessed' by 'shellfish' - i.e. wealth.
tribute,10,貢,",tribute,craft,shellfish,clam,oyster,eye,animal legs,eight,",コウ　　クr,みつ・ぐ,The system of TRIBUTES is that wonderous state 'craft' of extracting extra 'shells' (money) from those who have few in exchange for nothing.
paragraph,12,項,",paragraph,craft,head,page,one,ceiling,drop,shellfish,clam,oyster,eye,animal legs,eight,",コウ,,"The PARAGRAPH is the writer's secret 'heading' 'craft', which few have mastered, though many try."
sword,2,刀,",sword,dagger,",トウ,かたな,"This pictograph depicts the hilt of an ornate SWORD, like the bucket-grips popular with Spanish swashbucklers. When put to one side and elongated, it instead represents a great flashing *sabre, which is always hung to the right, as is proper."
blade,3,刃,",blade,drop,sword,dagger,",ジン,は,See the little 'drop' of blood clinging to the BLADE of the 'sword'?
cut,4,切,",cut,seven,diced,sword,dagger,",セツ　　サイr,き・る　　き・れる,"Imagine a great Japanese chef, master of the fine sashimi CUT, who one day loses his mind and decides to 'dice' up everything with his 'knife'."
seduce,5,召,",seduce,sword,dagger,mouth,",ショウ,め・す,"SEDUCTION is the art of the 'dagger' 'mouth', with all the Freudian implications that come with it."
shining,9,昭,",shining,sun,day,seduce,summon,sword,dagger,mouth,",ショウ,,"That which SHINES has 'seduced' the 'sun' down on it, distracting admirers from the true source of the light."
rule,9,則,",rule,shellfish,clam,oyster,eye,animal legs,eight,sword,sabre,saber,",ソク,,"Imagine the weary ronin who must now resort to the ignoble trade of 'clam' picking. He cracks open the clam with his once-brilliant 'saber', now notched on its blunt side so he may RULE the clams and so avoid the local government tax on the juiciest specimens."
vice-,11,副,",vice-,wealth,one,ceiling,mouth,rice field,brains,sword,sabre,saber,",フク,,"A 'wealthy' man's 'sabre' is his VICE- captain, who stands by his side in exchange for a cut of the wealth."
separate,7,別,",separate,mouth,bound up,sword,sabre,saber,",ベツ,わか・れる,"Nothing should SEPARATE a samurai from his sword. Here we have a captured warrior 'bound up' out of reach of his 'sabre', his 'mouth' wide open and howling with shame."
street,2,丁,",street,street,nail,spike,",チョウ　　テイ,,This is a STREET sign on a long pole. As a primitive it signifies a *nail or *spike. Imagine pulling a street sign out of the ground and using it as a nail to mend your roof.
town,7,町,",town,rice field,brains,street,nail,spike,",チョウ,まち,The limits of the TOWN lie where the 'street' signs stand next to the 'rice fields'.
can,5,可,",can,mouth,street,street,nail,spike,",カ,,"I think I can, I think I CAN: the Little Engine that Could chews up the railway 'spikes' in his 'mouth' and spits them out in front of him on his arduous journey."
place on the head,11,頂,",place on the head,street,nail,spike,head,page,one,ceiling,drop,shellfish,clam,oyster,eye,animal legs,eight,",チョウ,いただ・く　　いただき,"If you plan to hit the 'nail' on the 'head', you must ensure it is properly PLACED ON THE HEAD first."
child,3,子,",child,",シ　　ス,こ,"This is a pictograph of a CHILD, with his funky haircut and little arms wide."
cavity,4,孔,",cavity,child,fishhook,",コウ,,"Nothing is more frightening to a 'child' than to confront the dentist, with all his villainous-looking 'hooks', and be told he has a CAVITY."
