kanji_strokes,How many strokes in the kanji for:,"Draw the figure in your mind, then type the number of strokes to help you remember:",,,,
imperial edict,12,詔,",imperial edict,say,words,keitai,mouth,summon,seduce,sword,dagger,mouth,mouth2,",ショウ,みことのり,An IMPERIAL EDICT is little more than 'words' to 'seduce' the people to the emperor's personality cult. A Marxist surely coined this particular kanji.
packed,13,詰,",packed,say,words,keitai,mouth,aerosol,good luck,samurai,mouth,mouth2,",キツ,つ・める　　つ・まる　　つ・む,A 'word' that is PACKED with meaning must be sealed tight like an 'aerosol can' to prevent all that meaning from escaping.
tale,13,話,",tale,say,words,keitai,mouth,tongue,thousand,mouth,mouth2,",ワ,はなし　　はな・す,"Znapfians call TALES 'words' of the 'tongue', because they are so much better heard than read."
recitation,12,詠,",recitation,say,words,keitai,mouth,eternity,drop,water,",エイ,よ・む,RECITATIONS help us bear the 'words' of yore into 'eternity'.
poem,13,詩,",poem,say,words,keitai,mouth,Buddhist temple,soil,dirt,ground,glue,",シ,,The first Japanese POEMS were 'words' of the 'Buddhist temple' - religious verse in praise of God.
word,14,語,",word,say,words,keitai,mouth,I,five,mouth,mouth2,",ゴ,かた・らう　　かた・る,"Am 'I' separate from my WORDS? Yes, according to the reading of this kanji - 'words' on one side, 'I' on the other."
read,14,読,",read,say,words,keitai,mouth,sell,sale,samurai,paper punch,Miss World,crown,human legs,",ドク　　トク　　トウr,よ・む,"In this age of advertising, alas, most of the 'words' we READ are meant to 'sell' us something, hence this very modern kanji."
tune,15,調,",tune,say,words,keitai,mouth,circumference,running track,soil,dirt,ground,mouth,mouth2,",チョウ,しら・べる　　ととの・う　　ととの・える,"A catchy TUNE is not merely a succession of notes, but one or more 'laps' of the 'words' that go with it."
discuss,15,談,",discuss,say,words,keitai,mouth,inflammation,fire,fire2,",ダン,,"In almost every attempt to DISCUSS an issue, the fervor of one's convictions bursts forth as 'inflaming' 'words'. "
consent,15,諾,",consent,say,words,keitai,mouth,young,flowers,by one’s side,mouth,mouth2,",ダク,,The 'words' of the 'young' have no legal bearing without the CONSENT of their parents.
rebuke,16,諭,",rebuke,say,words,keitai,mouth,meeting of butchers,moon,month,flesh,part of the body,sword,sabre,saber,",ユ,さと・す,Words' spoken at those infamous 'meetings of butchers' often take the tenor of REBUKES.
style,6,式,",style,arrow,craft,",シキ,,"In former times, every warrior 'crafted' their own 'arrows' according to their own particular STYLE (so there would never be debate as to who shot what)."
test,13,試,",test,say,words,keitai,mouth,style,arrow,craft,",シ,こころ・みる　　ため・す,"When TESTING a new 'style' for market, designers closely heed the 'words' of focus groups."
II (two),6,弐,",II,two,arrows,quiver,",ニ,,Two 'arrows' in a 'quiver' resemble the numeral II. Don't forget to draw all the horizontal lines first.
range,11,域,",range,soil,dirt,ground,pope,fiesta,mouth,one,floor,",イキ,,"Ah, home on the RANGE! This kanji depicts a cowboy returning to his 'land' after a successful trip to market. He presses his 'mouth' against the 'floor' in gratitude, then enjoys a boisterous family 'fiesta'."
burglar,13,賊,",burglar,shellfish,clam,oyster,eye,animal legs,eight,ten,needle,fiesta,",ゾク,,"From the point of view of a BURGLAR, a 'fiesta' is but an opportunity to dust off the old lockpicking 'needles' and raid the family's 'shells' (i.e. cash). The shells naturally come first to our attention, with the lockpick below and the fiesta in the background."
plantation,10,栽,",plantation,Thanksgiving,harvest festival,ten,needle,fiesta,tree,wood,",サイ,,"On a PLANTATION, a farmer invites her 'trees' to 'Thanksgiving' (a kind of 'land' 'fiesta')."
load,13,載,",load,Thanksgiving,harvest festival,ten,needle,fiesta,car,vehicle,",サイ,の・せる　　の・る,LOAD the 'cart' with bales for the beloved 'Thanksgiving' hay ride.
overgrown,8,茂,",overgrown,flowers,parade,",モ,しげ・る,"After the 'parade' (the 'enclosed fiesta') of 'flowers' was called off, the unused blossoms became beautifully OVERGROWN (note that the 'flowers', in an exception, go on top, having escaped the 'parade')."
relatives,11,戚,",relatives,half-uncle,above,small,little,parade,",セキ,,"Think of a 'parade' of disagreeable RELATIVES; how 'little' they boast 'above', so to speak."
turn into,6,成,",turn into,parade,sword,dagger,",セイ　　ジョウr,な・す　　な・る,"Thanks to a scheduling error, a 'parade' abruptly TURNED INTO a 'dagger' fight when the marchers happened upon on an unrelated mafia event."
castle,9,城,",castle,soil,dirt,ground,turn into,parade,sword,dagger,",ジョウ,しろ,"In this kanji, we see a mound of 'dirt' being magically 'turned into' a magnificent CASTLE (or was it all in one's imagination?)"
sincerity,13,誠,",sincerity,say,words,keitai,mouth,turn into,sword,dagger,parade,",セイ,まこと,The sure sign of SINCERITY is that one's 'words' are 'turned into' deeds.
intimidate,9,威,",woman,parade,fiesta,drop,one,",イ,,What could be more INTIMIDATING to the patriarchy than the sight of 'women' on the 'march'? (and a 'march' is a 'parade' with 'singular' purpose)
destroy,13,滅,",destroy,water,water droplets,water pistol,march,fire,",メツ,ほろ・びる　　ほろ・ぼす,"Picture a 'march' of 'flames' protesting the fire department, only to be DESTROYED (rather predictably) by 'water'."
dwindle,12,減,",dwindle,water,water droplets,water pistol,march,mouth,",ゲン,へ・らす　　へ・る,A 'march' of unquenchable 'mouths' will soon cause the 'water' supply to DWINDLE.
revile,14,蔑,",revile,flowers,eye,cross-eyed,net,march,",ベツ,さげす・む,"The 'march' of 'flowers' was REVILED by the conservative elites, who cast a baleful 'eye' over proceedings."
scaffold,10,桟,",scaffold,tree,wood,float,fiesta,",サン,,The first SCAFFOLDS were erected to construct magnificent (parade) 'floats' out of mighty 'trees' (a 'float' is a 'fiesta' with two extra lines for the platform).
coin,14,銭,",coin,metal,gold,float,fiesta,",セン,ぜに,Most common people only get precious COINS when the 'gold' is hurled at them from 'floats' by their betters.
shallow,9,浅,",shallow,water,water droplets,water pistol,float,fiesta,",セン,あさ・い,An entourage of 'floats' going from place to place must be sure to ford in SHALLOW 'waters' to avoid disaster. Picture what would happen if they didn't!
stop,4,止,",stop,footprint,",シ,と・まる　　と・める,"A pictograph of the left *footprint represents STOP. Note the big toe, clearly broken, sticking out at a grotesque right angle."
walk,8,歩,",walk,stop,footprint,few,",ホ　　ブ　　フr,あゆ・む　　ある・く,A 'few' 'footprints' indicates going for a WALK.
ford,11,渉,",ford,water,water droplets,water pistol,walk,stop,footprint,few,",ショウ,,To FORD a body of 'water' means to 'walk' across it.
repeatedly,17,頻,",repeatedly,walk,stop,footprint,few,head,page,one,ceiling,drop,shellfish,clam,oyster,eye,animal legs,eight,",ヒン,,Imagine having one's 'head' 'walked' on REPEATEDLY - a horrible image.
agreement,8,肯,",agreement,stop,footprint,moon,month,flesh,part of the body,",コウ,,Footprints' on the 'flesh' indicates AGREEMENT extorted by severe means.
undertake,6,企,",undertake,umbrella,stop,footprint,",キ,くわだ・てる,To UNDERTAKE a project is to take an idea floating like an 'umbrella' and 'stopping' it so it can take root.
curriculum,14,歴,",curriculum,cliff,grove,tree,wood,stop,footprint,tree2,wood2,",レキ,,"A school CURRICULUM is like the 'grove of trees' whose cycles of growth over the cliff captured the idea of a calendar - except here, the cycle is 'stopped', just as a CURRICULUM 'stops' the natural cycle of learning."
warrior,8,武,",warrior,one,arrow,stop,footprint,",ブ　　ム,,The ancient WARRIOR plants his 'quiver' in the mud and vows to 'stop' his foes at any cost.
levy,15,賦,",levy,shellfish,clam,oyster,eye,animal legs,eight,warrior,one,stop,footprint,arrow,",フ,,"As the 'warrior' passes through town, a LEVY of 'shells' is paid...or extracted."
correct,5,正,",correct,one,ceiling,stop,footprint,",セイ　　ショウ,ただ・しい　　ただ・す　　まさ,A CORRECT path begins with 'one' good 'step'. Imagine Confucian teachers schooling a toddler in the correct way to walk. Would the baby ever take even 'one' 'step' after all that overzealous CORRECTION?
evidence,12,証,",evidence,say,words,keitai,mouth,correct,one,ceiling,stop,footprint,",ショウ,,Words' that testify to the 'correctness' of some fact are called EVIDENCE.
politics,9,政,",politics,correct,one,ceiling,stop,footprint,taskmaster,",セイ　　 ショウr,まつりごと,"POLITICS, ideally, is the art of 'correct' 'taskmastering'."
determine,8,定,",mend,correct,house,determine,stop,",テイ　　ジョウ,さだ・か　　さだ・める　　さだ・まる,DETERMINATION is a homeowner 'mending' their 'house' - possibly without the prerequisite skills.
lock,16,錠,",lock,metal,gold,determine,determined,house,mend,",ジョウ,,"A LOCK is an example of 'metal' 'determination'; like the old Znapfian fable of the 'metal' city gate which magically fused, manifesting the city's 'determination' to resist its attackers."
run,7,走,",run,soil,dirt,ground,mend,",ソウ,はし・る,"RUNNING, they say, 'mends' the 'soil'."
transcend,12,超,",transcend,run,soil,dirt,ground,mend,summon,seduce,sword,dagger,mouth,",チョウ,こ・す　　こ・える,A life of 'running' after 'seductions' is that which Buddha teaches one must TRANSCEND.
proceed,9,赴,",proceed,run,soil,dirt,ground,mend,magic wand,augury,",フ,おもむ・く,"Like Moses with his 'divining rod' before the Red Sea, God proclaiming the Hebrews may PROCEED - 'running', of course."
surpass,12,越,",surpass,run,soil,dirt,ground,mend,parade,",エツ,こ・す　　こ・える,Two 'parades' strive to SURPASS each other by 'running' at speed from town to town.
just so,9,是,",just so,sun,day,mend,",ゼ,,One spends an entire 'day' 'mending' one sock so that it is done JUST SO.
topic,18,題,",topic,just so,sun,day,mend,head,page,one,ceiling,drop,shellfish,clam,oyster,eye,animal legs,eight,",ダイ,,A TOPIC is all the information under a 'heading' prepared 'just so'.
dike,12,堤,",dike,soil,dirt,ground,just so,sun,day,mend,",テイ,つつみ,"The famous DIKES of the Netherlands are nothing but 'soil' arranged 'just so', with suitably Dutch precision."
build,9,建,",build,brush,stretch,",ケン　　コンr,た・つ　　た・てる,"In order to BUILD something, draw out your plans with a 'brush' and 'stretch' them out to scale in reality."
key,17,鍵,",key,metal,gold,build,brush,stretch,",ケン,かぎ,What is a KEY but the 'metal' that lets you into your 'building'?
prolong,8,延,",prolong,drop,stop,footprint,stretch,",エン,の・ばす　　の・びる　　の・べる,"To PROLONG their youthfulness, the Sona from Star Trek 'stretch' their skin and 'stop' it in place with clips, a 'little' bit at a time."
nativity,15,誕,",nativity,say,words,keitai,mouth,prolonged,drop,stop,footprint,stretch,",タン,,The first NATIVITY was the 'prolongation' of the 'word' throughout history.
cornerstone,18,礎,",cornerstone,stone,rock,grove,tree,wood,zoo,critters,tree2,wood2,",ソ,いしずえ,A CORNERSTONE is a 'stone' demarcating the edge of a wildlife preserve (a 'zoo' in a 'grove').
bridegroom,12,婿,",bridegroom,woman,zoo,critters,moon,month,flesh,part of the body,",セイ,むこ,"What makes a man a BRIDEGROOM is a 'woman', her dowry of exotic animals (the 'zoo'), and a 'month' away (aka a honey 'moon')."
garment,6,衣,",garment,top hat,scarf,cloth,clothes,clothing,garment,",イ,ころも,"What we see is a 'top hat' and beneath, a depiction of the folds of a GARMENT. Additional meanings *scarf or *cloak."
tailor,12,裁,",tailor,Thanksgiving,harvest festival,ten,needle,fiesta,top hat,scarf,cloth,clothes,clothing,garment,",サイ,さば・く　　た・つ,"Think of special 'garments' TAILORED for 'Thanksgiving' - in the form of costumes of the pilgrims, one assumes."
attire,12,装,",attire,turtle,samurai,top hat,scarf,cloth,clothes,clothing,garment,",ソウ　　ショウ,よそお・う,The legendary 'turtle' 'samurai' were ATTIRED with special 'garments'.
back,13,裏,",back,top hat,scarf,computer,",リ,うら,A spy disguises the eavesdropping 'computer' on his BACK through use of a 'top hat' and 'scarf'.
demolition,16,壊,",demolition,soil,dirt,ground,poltergeist,BernaE,ten,needle,eye,cross-eyed,net,top hat,scarf,cloth,clothes,clothing,garment,",カイ,こわ・す　　こわ・れる,"Once upon a time, a ghost was woven a 'garment' so fine it could fit through the 'eye of the needle'. Made corporeal by this new luxury wear, the ghost attempted to pass through a nearby apartment block and predictibly DEMOLISHED it, razing it to the 'ground'."
pathetic,9,哀,",pathetic,top hat,scarf,mouth,",アイ,あわ・れ　　あわ・れむ,A drunkard in a 'top hat' and filthy 'scarf' with one big 'mouth' wide open guzzling booze - that is the picture of PATHETIC.
distant,13,遠,",distant,earthenware jar,lidded crock,soil,dirt,ground,mouth,scarf,road,",エン　　オンr,とお・い,"On the open 'road' you see a figure in the DISTANCE, looking almost like a 'lidded crock' with a 'scarf'."
monkey,13,猿,",monkey,pack of wild dogs,earthenware jar,lidded crock,soil,dirt,ground,mouth,scarf,",エン,さる,"This clever MONKEY has caught a 'pack of wild dogs' in a 'lidded crock', tied up with a lovely silk 'scarf' to gift to the dog-catcher."
first time,7,初,",first time,cloak,sword,dagger,",ショ,はじ・め　　はじ・めて　　はつ　　そ・める　　うい,"In the world of 'cloak' and 'dagger', the FIRST TIME is always the hardest."
towel,3,巾,",towel,",キン,,A TOWEL is represented as a bolt of cloth wrapped around a pole.
linen,5,布,",linen,by one’s side,towel,",フ,ぬの,"Think of lying on crisp new LINENS, with a pile of fresh 'towels' 'by your side'."
sail,6,帆,",sail,towel,mediocre,drop,wind,",ハン,ほ,A SAIL made of a 'towel' makes for a 'mediocre' vessel.
hanging scroll,12,幅,",hanging scroll,towel,wealth,one,ceiling,mouth,rice field,brains,",フク,はば,A particularly 'wealthy' man was once so revered that evening his 'towel' was auctioned off to be hung in an entrance hall as a HANGING SCROLL.
cap,12,帽,",cap,towel,risk,sun,day,eye,",ボウ,,"To avoid the 'risk' (of 'sun' in the 'eyes'), one wraps a 'towel' around one's head as a makeshift CAP."
curtain,13,幕,",curtain,graveyard,flowers,sun,day,large,St. Bernard,towel,",マク　　バク,,A dirty 'towel' at the entrance to a 'graveyard' is the picture of the CURTAIN of death.
canopy,13,幌,",canopy,towel,limpid,sun,day,ray,small,little,human legs,",,ほろ,A large 'towel' stretched overhead with a few of the 'sun's' 'rays' peeping through is like a beautiful forest CANOPY to the imaginative mind of a youngster.
brocade,16,錦,",brocade,metal,gold,napkin,white,dove,towel,",キン,にしき,The traditional Znapfian BROCADE was little more than a strip of 'white' 'towel' with some 'metal' scraps sowed in.
market,5,市,",market,top hat,towel,",シ,いち,"In the steamy MARKET of Znap, the traditional costume is but a bath 'towel' (for pragmatism) and a 'top hat' (for style)."
persimmon,9,柿,",persimmon,tree,wood,market,top hat,towel,",,かき,"In the middle of the grand 'market' of Znap, a great PERSIMMON 'tree' grew, its fat fruits so heavy they wreaked havoc on the stalls beneath."
elder sister,8,姉,",elder sister,woman,market,top hat,towel,",シ,あね,The ELDER SISTER is the 'woman' of the family traditionally expected to go to 'market' for food.
lungs,9,肺,",lungs,moon,month,flesh,part of the body,market,top hat,towel,",ハイ,,"In Znap, the favourite 'part of the body' on sale in the 'market' is always the LUNGS."
sash,10,帯,",sash,buckle,apron,crown,towel,",タイ,おび　　お・びる,The part of the 'apron' where the 'buckle' is found is the SASH.
stagnate,13,滞,",stagnate,water,water droplets,water pistol,sash,buckle,apron,crown,towel,",タイ,とどこお・る,A 'water' 'sash' is the favoured garment for those unfortunates doing laundry in the STAGNANT local pond.
thorn,8,刺,",thorn,tree,wood,belt,sword,sabre,saber,",シ,さ・す　　さ・さる,THORNS are like a 'belt' of 'sabers' around a 'tree'.
system,8,制,",system,cow,belt,sword,sabre,saber,",セイ,,The Znapfians had a special SYSTEM for slaughtering 'cows' - hanging them up by 'belts' around their ankles and decapitating them with one swift 'saber' slash.
made in...,14,製,",made in…,system,cow,belt,sword,sabre,saber,hat,scarf,cloth,clothes,clothing,garment,",セイ,,The ubiquitous MADE IN label is a symbol of the 'systematisation' of the 'garment' industry.
revolve,11,転,",revolve,car,rising cloud,two,elbow,wall,",テン,ころ・ぶ　　ころ・がる　　ころ・げる　　ころ・がす,"As the wheels of the 'car' REVOLVE, they kick up 'rising clouds' of dust."
technique,7,芸,",technique,flowers,rising cloud,two,elbow,wall,",ゲイ,,The secret TECHNIQUE of turning a 'rising cloud' into a bouquet of 'flowers' is depicted here.
rain,8,雨,",rain,rain,weather,",ウ,あめ　　あまr,"A pictograph of RAIN: the top line is the sky, the frame is two clouds, and the four dots are water."
cloud,12,雲,",cloud,rain,weather,rising cloud,two,elbow,wall,",ウン,くも,A mature CLOUD is made up of 'rising clouds' full of 'rain'.
cloudy weather,16,曇,",cloudy weather,sun,day,cloud,rain,weather,rising cloud,two,elbow,wall,",ドン,くも・る,Sun' and 'clouds' naturally gives us CLOUDY WEATHER.
thunder,13,雷,",thunder,rain,weather,rice field,brains,",ライ,かみなり,"When the 'weather' is bad, and the THUNDER is booming, sheltering in a wet, exposed 'rice field' is a bad idea."
frost,17,霜,",frost,rain,weather,inter,Inter Milan,tree,wood,eye,",ソウ,しも,FROST is a kind of 'inter-' 'weather' - require moistness and chill.
winter,5,冬,",winter,walking legs,ice,",トウ,ふゆ,Walking legs' on 'ice' pretty much describes WINTER.
heavens,4,天,",heavens,heavens,one,ceiling,large,",テン,あめ　　あまr,The HEAVENS are where the 'ceiling' 'dog' (or was that Sky God?) dwells. Ironically has the primitive meaning of *witch.
bewitched,7,妖,",bewitched,woman,sapling,",ヨウ,あや・しい,You are BEWITCHED by a 'woman' who is a 'witch'.
irrigate,7,沃,",irrigate,water,water droplets,water pistol,sapling,",ヨク,,"Suffering from drought, the farmers call on a 'witch' to conjure up 'water' for their crops and IRRIGATE them."
bridge,16,橋,",bridge,tree,wood,angel,heavens,mouth,hood,mouth,mouth2,",キョウ,はし,The Grand BRIDGE of Znap is made of great 'trees' carved into the shape of 'angels'. (And an 'angel' is an 'alien' who is the 'mouth' of the 'heavens')
attractive,15,嬌,",attractive,woman,angel,heavens,mouth,hood,mouth,mouth2,",キョウ,,Associating a particularly ATTRACTIVE 'woman' with the word 'angel' should not be difficult. 
stand up,5,立,",stand up,vase,stand up,",リツ　　リュウr,た・つ　　た・てる,This picture of a *vase STANDING UP speaks for itself.
cry,8,泣,",cry,water,water droplets,water pistol,vase,stand up,",キュウ,な・く,"Next time you CRY, try gathering your tears in a 'vase' so you can 'water' the garden with them."
badge,11,章,",badge,vase,stand up,sunflower,early,sun,day,ten,needle,",ショウ,,The BADGE of the flower club is appropriately a 'sunflower' in a 'vase'.
vie,20,競,",vie,vase,stand up,elder brother,teenager,mouth,human legs,vase2,stand up2,elder brother2,teenager2,mouth2,human legs2,",キョウ　　ケイ,きそ・う　　せ・る,"Two 'teenagers' are here 'standing up' to each other, VYING for their peers' adulation."
sovereign,9,帝,",sovereign,vase,stand up,apron,crown,towel,",テイ,,"A truly inspiring SOVEREIGN is one who 'stands up', dons an 'apron', and pitches in with the dishes once in a while."
renunciation,16,諦,",sovereign,vase,stand up,apron,crown,towel,word,mouth,",テイ,あきら・める,RENUNCIATION is a 'sovereign' 'word' to the Buddhists.
juvenile,12,童,",juvenile,vase,stand up,computer,",ドウ,わらべ,"It would be JUVENILE to punish your defective 'computer' by 'standing' on top of it (and jumping up and down), yet many feel the urge to on occasion."
pupil,17,瞳,",pupil,eye,juvenile,vase,stand up,computer,",ドウ,ひとみ,Juvenile' plus the double-meaning of 'eye' gives us PUPIL.
bell,20,鐘,",bell,metal,gold,juvenile,vase,stand up,computer,",ショウ,かね,A BELL was once cast of 'metal' so poor its ringing sounded like the bellowing of 'juveniles'.
make a deal,11,商,",make a deal,vase,stand up,alien,hood,human legs,mouth,",ショウ,あきな・う,See the peddler 'standing' atop his 'motorcycle helmet'; the 'legs' and 'mouth' depict the essential tools for MAKING A DEAL.
legitimate wife,14,嫡,",legitimate wife,woman,antique,vase,stand up,hood,old,tombstone,gravestone,church,ten,needle,mouth,",チャク,,"The sexist Znapfians like to call a man's LEGITIMATE WIFE his 'antique' 'woman'. (And an 'antique' is a 'vase' and an 'old' 'motorcycle helmet', just like on American Pickers.)"
suitable,14,適,",suitable,antique,vase,stand up,hood,old,tombstone,gravestone,church,ten,needle,mouth,road,",テキ,,What could be a less SUITABLE display case for your 'antiques' than the middle of the 'road'?
drip,14,滴,",drip,water,water droplets,water pistol,antique,vase,stand up,hood,old,tombstone,gravestone,church,ten,needle,mouth,",テキ,しずく　　したた・る,"In ancient limestone caves, 'antique' 'water' DRIPS from the roof, having worked its way down over thousands of years."
enemy,15,敵,",enemy,antique,vase,stand up,hood,old,tombstone,gravestone,church,ten,needle,mouth,taskmaster,",テキ,かたき,Everyone's first ENEMY in life is some form of 'antique' 'taskmaster' - a nasty old pedant with a cane and the will to use it.
spoon,2,匕,",spoon,sitting on the ground,",ヒ,さじ,This is a picture of a baby sitting down holding out a SPOON and asking to be fed. Has the primitive meaning of *sitting on the ground.
scold,5,叱,",scold,mouth,diced,seven,spoon,sitting on the ground,",シツ,しか・る,The word SCOLD conjures up images of 'sitting on the ground' while a superior runs off at the 'mouth' with you.
aroma,4,匂,",aroma,bound up,spoon,sitting on the ground,",,にお・う,Imagine capturing an AROMA by 'binding it up' with a 'spoon' - lovely!
about that time,11,頃,",about that time,spoon,sitting on the ground,head,page,one,ceiling,drop,shellfish,clam,oyster,eye,animal legs,eight,",,ころ,"When a drunk family member busts out the old 'head' and 'spoon' trick, it's ABOUT THAT TIME to leave."
north,5,北,",north,spoon,sitting on the ground,",ホク,きた,"In the NORTHERN hemisphere, the cold wind comes from the NORTH. This pictograph shows two cold peasants 'sitting on the ground' with their backs against one another for warmth."
stature,9,背,",stature,north,spoon,sitting on the ground,moon,month,flesh,part of the body,",ハイ,せ　　せい　　そむ・く　　そむ・ける,One's STATURE is measured according to the 'northern' -most 'part of the body'.
compare,4,比,",compare,spoon,sitting on the ground,spoon2,sitting on the ground2,",ヒ,くら・べる,"With a 'spoon' in each hand, a cooking show judge COMPARES two broths."
descendants,8,昆,",descendants,sun,day,compare,spoon,sitting on the ground,spoon2,sitting on the ground2,",コン,,"By 'comparing' themselves to the 'sun', ancient kings adduced that they were DESCENDED from it."
all,9,皆,",all,compare,spoon,sitting on the ground,white,dove,spoon2,sitting on the ground2,",カイ,みな,Imagine two homemakers 'comparing' the 'whiteness' of their linens in an ad for an ALL -temperature detergent.
block letters,13,楷,",all,compare,spoon,sitting on the ground,white,dove,spoon2,sitting on the ground2,tree,",カイ,,"BLOCK LETTERS are like tidy rows of 'trees' that are 'all' the same size, so that they may easily be read by 'all'."
orderliness,16,諧,",all,compare,spoon,sitting on the ground,white,dove,spoon2,sitting on the ground2,tree,",カイ,,ORDERLINESS in oratory is having 'all' one's 'words' in good order.
mix,11,混,",mix,water,water droplets,water pistol,descendants,sun,day,compare,spoon,sitting on the ground,spoon2,sitting on the ground2,",コン,ま・ぜる　　ま・ざる　　ま・じる　　こ・む,"MIXED marriage, so a racist's logic goes, 'waters' down one's 'descendants'."
thirst,11,渇,",thirst,water,water droplets,water pistol,mexican bandit,muchacho,siesta,sun,day,aroma,bound up,spoon,sitting on the ground,",カツ,かわ・く,Imagine a muchacho taking a 'siesta' ('sitting on the ground' 'bound up' in a poncho under the 'sun'). He appeals to you for 'water' to quench his THIRST.
audience,15,謁,",audience,say,words,keitai,mouth,mexican bandit,muchacho,siesta,sun,day,aroma,bound up,spoon,sitting on the ground,",エツ,,Being in the AUDIENCE to hear the 'words' of an important speaker can be the perfect opportunity for a 'siesta'.
brown,13,褐,",brown,cloak,mexican bandit,muchacho,siesta,sun,day,aroma,bound up,spoon,sitting on the ground,",カツ,,BROWN is the colour of the 'cloak' of a person having a 'siesta'.
hoarse,11,喝,",hoarse,mouth,mexican bandit,muchacho,siesta,sun,day,aroma,bound up,spoon,sitting on the ground,",カツ,,"The muchacho having a 'siesta' opens his 'mouth', but his voice is too HOARSE to understand."
kudzu,11,葛,",kudzu,flowers,mexican bandit,muchacho,siesta,sun,day,aroma,bound up,spoon,sitting on the ground,",カツ,くず,"KUDZU are crawling vines which can rise up from mere 'flowers' in the time it takes you to have a 'siesta'. The association of KUDZU with the warm, humid South of the US helps with the imagery."
delicious,6,旨,",delicious,spoon,sitting on the ground,sun,day,",シ,むね,"If you find something DELICIOUS, consider spending a 'spoon' 'day' with it."
fat,10,脂,",fat,moon,month,flesh,part of the body,delicious,spoon,sun,day,",シ,あぶら,"Too much 'delicious' food will add plenty of 'flesh' to make you FAT. Alternatively, FAT is the most 'delicious' 'flesh'."
visit a shrine,13,詣,",visit a shrine,say,words,keitai,mouth,delicious,spoon,sitting on the ground,sun,day,",ケイ,もう・でる,"In the land of Znap, when one VISITS A SHRINE, one receives a 'delicious' bit of edible paper covered in sacred 'words'."
I (one),7,壱,",1 (one),samurai,crown,spoon,sitting on the ground,",イチ,,A 'samurai' 'sitting on the ground' wearing a 'crown' clearly believes they are number I (ONE).
every,6,毎,",every,reclining,lying down,mother,",マイ,,Behind EVERY successful man 'lies' a woman - usually their 'mama'.
cleverness,10,敏,",cleverness,every,reclining,lying down,mother,breasts,taskmaster,",ビン,,"Behind 'every' successful 'taskmaster', the CLEVERNESS of a fox."
plum,10,梅,",plum,tree,wood,every,reclining,lying down,mother,breasts,",バイ,うめ,"Behind 'every' pie maker, a 'tree' full of PLUMS."
sea,9,海,",sea,water,water droplets,water pistol,every,reclining,lying down,mother,breasts,",カイ,うみ,"Behind 'every' 'drop of water', a SEA from which it originated."
beg,3,乞,",beg,reclining,lying down,fishhook,",,こ・う,Imagine someone 'lying down' in a public place boasting a 'hook' for a hand and BEGGING for a morsel.
drought,11,乾,",drought,mist,ten,needle,early,sun,day,beg,reclining,lying down,fishhook,ten2,needle2,",カン,かわ・かす　　かわ・く,"In times of DROUGHT, the victims 'beg' for a little 'mist' to relieve them."
abdomen,13,腹,",abdomen,moon,month,flesh,part of the body,fold back,double back,reclining,lying down,sun,day,walking legs,",フク,はら,"If you 'double back' (fold over) an animal, you usually expose the 'part of the body' known as the ABDOMEN. (And 'doubling back' suggests a traveller doubling back to 'lie down' at the nearest wayhouse and rest their weary 'walking legs' after a long 'day' of travel.)"
duplicate,14,複,",duplicate,cloak,fold back,double back,reclining,lying down,sun,day,walking legs,",フク,,"To DUPLICATE something means to 'double it back' with a fold, like the fold of a 'cloak'."
lack,4,欠,",lack,yawn,",ケツ,か・く　　か・ける,"This is a pictograph of someone yawning, indicating a LACK of sleep - or interest."
blow,7,吹,",blow,mouth,lack,yawn,",スイ,ふ・く,To BLOW is to make one's 'mouth' 'lack' air.
cook,8,炊,",cook,fire,lack,yawn,",スイ,た・く,"When a novice COOK 'lacks' sufficient attention, a 'fire' is inevitable."
song,14,歌,",song,cancan,can,mouth,street,nail,spike,lack,yawn,can2,mouth2,street2,nail2,spike2,",カ,うた・う　　うた,"This SONG is being sung by a line of 'can' 'can' dancers - but the audience, impatient for the main act, are 'yawning'."
soft,11,軟,",soft,car,lack,yawn,",ナン,やわ・らか　　やわ・らかい,"If one's 'car' seat is too SOFT, one might start 'yawning' - and soon thereafter, crashing."
next,6,次,",next,ice,lack,yawn,",ジ　　シ,つ・ぐ　　つぎ,"In the height of the summer, locals who 'lack' 'ice' queue up for their ration: the distributor cries, NEXT."
briar,9,茨,",briar,flowers,next,ice,lack,yawn,",,いばらr,"If you let your 'flowers' grow, 'next' they could turn into a BRIAR."
assets,13,資,",assets,next,ice,lack,yawn,shellfish,clam,oyster,eye,animal legs,eight,",シ,,"The first 'shells' you earn go toward debts; the 'next' shell, though, becomes an ASSET."
figure,9,姿,",figure,next,ice,lack,yawn,woman,",シ,すがた,This kanji depicts a 'woman's' FIGURE as a 'second' self.
consult with,16,諮,",consult with,say,words,keitai,mouth,next,ice,lack,yawn,mouth,mouth2,",シ,はか・る,To seek the 'words' of a 'second' 'mouth' is to CONSULT WITH someone about something.
compensation,15,賠,",compensation,shellfish,clam,oyster,eye,animal legs,eight,muzzle,vase,stand up,mouth,",バイ,,A 'muzzle' is like a 'vase' fixed over the 'mouth'. The COMPENSATION given to widowed Znapfian fishermen's wives was colloquially known as the 'clam' 'muzzle'.
cultivate,11,培,",cultivate,soil,dirt,ground,muzzle,vase,stand up,mouth,",バイ,つちか・う,"To CULTIVATE the 'soil' is to 'muzzle' it, just as one 'muzzles' a dog to tame it."
